label,field_name,section,max_count,required,accepted_values,example,definition
Launch Date,product_site_launch_date,Offer,1,Optional,This is the date when customers will start viewing this product on Amazon.,MM/DD/YYYY,"Specify the Date for when this item can launch on the site (this applies only to you product uploads after you have launched).  For upload and testing purposes, set this date to a date at one year into the future.  When you perform the final upload, use previous day's date."
Release Date,merchant_release_date,Offer,1,Optional,This field is used to setup pre-order and is the date from when the pre-ordered product will be available to be shipped to customers.,MM/DD/YYYY,The first date on which you can deliver a pre-orderable product (one that has never been available prior to this date) to a customer.
Restock Date,restock_date,Offer,1,Optional,This field is used to setup back-order and is the date when the back-ordered products will be available for shipping to customers.,MM/DD/YYYY,This is the date that a merchant will be able to ship any back-ordered items to a customer.
Is Product Expirable,is_expiration_dated_product,Offer,1,Optional,"Does your product expire or lose effectiveness over time? Select “Yes” if the product meets one of the following criteria: (1) has a printed expiration date, (2) is a topical or consumable product for either human or animal use, or (3) has a recommended shelf life. “For more information, refer to Expiry Seller policy and help page(s).",TRUE,"Does your product expire or lose effectiveness over time? Select “Yes” if the product meets one of the following criteria: (1) has a printed expiration date, (2) is a topical or consumable product for either human or animal use, or (3) has a recommended shelf life. “For more information, refer to Expiry Seller policy and help page(s)."
Fulfillment Center Shelf Life,fc_shelf_life,Offer,1,Optional,"FC Shelf Life is the number of days the product may be stored without becoming unfit for sale. For more information, refer to Expiry Seller policy and help page(s).",90,"FC Shelf Life is the number of days the product may be stored without becoming unfit for sale. For more information, refer to Expiry Seller policy and help page(s)."
Offer End Date,offering_end_date,Offer,1,Optional,"This is the date from when customer cannot place an order on your product, irrespective of the stock in hand. But the product still be active, if other Selling Partners are selling this product.",MM/DD/YYYY,Specify the date when this item can be discontinued on the site.
Product Expiration Type,product_expiration_type,Offer,1,Optional,"1) Expiration Date Required: The expiration date is printed on product packaging. 2) Expiration on Package: The product will be reviewed for an expiration date at inbound. 3) Production Date Required: The production or manufacturing date is printed on product packaging. 4) Shelf Life: The product will lose effectiveness over time but does not have a clear expiration date or production date. For example: Batteries & Beauty Supplies. For more information, refer to Expiry Seller policy and help page(s).",Shelf Life,"1) Expiration Date Required: The expiration date is printed on product packaging. 2) Expiration on Package: The product will be reviewed for an expiration date at inbound. 3) Production Date Required: The production or manufacturing date is printed on product packaging. 4) Shelf Life: The product will lose effectiveness over time but does not have a clear expiration date or production date. For example: Batteries & Beauty Supplies. For more information, refer to Expiry Seller policy and help page(s)."
item_package_quantity,item_package_quantity,Offer,1,Optional,,,
Offer Start Date,offering_start_date,Offer,1,Optional,"Once the product is launched on Amazon, customers can start placing orders on your product from this date.",MM/DD/YYYY,This is the first date on which a merchant can deliver a pre-orderable product (one that has never been available prior to this date) to a customer.
Business Price,business_price,B2B,1,Optional,"The price at which the merchant offers the product to registered business buyers for sale, expressed in U.S. dollars.",10.5,"The price at which the merchant offers the product to Verified Business customers, expressed in U.S. dollars. If price exists, business-price should be less than or equal to price, as business-price represents a discount for business customers. The price should be greater than 0. Do not include thousands separators or currency symbols. This field is required if quantity prices are provided."
Quantity Price Type,quantity_price_type,B2B,1,Optional,The unit of measure the discount will be expressed in. Either Fixed price in U.S. dollars or Percent Off,Fixed,"Either fixed or percent. When fixed is selected, quantity prices are expressed in U.S. dollars. When percent is selected, quantity prices are calculated as a percent off the business price."
Quantity Lower Bound,quantity_lower_bound,B2B,5,,,,
Quantity Price,quantity_price,B2B,5,,,,
Progressive Discount Type,progressive_discount_type,B2B,1,Optional,The unit of measure the discount will be expressed in either Fixed price in U.S. dollars or Percent Off.,Fixed,Fixed price or a percentage off of Business price.
National Stock Number,national_stock_number,B2B,1,Optional,A alpha-numeric 13 digit code. Code identifying standard material items of supply as defined by NATO,6240-00-027-2059,A alpha-numeric 13 digit code. Code identifying standard material items of supply as defined by NATO
United Nations Standard Products and Services Code,unspsc_code,B2B,1,Optional,An 8 digit code A numeric code classifying products according to the UNSPSC system,47121602,An 8 digit code A numeric code classifying products according to the UNSPSC system
Progressive Discount Lower Bound,progressive_discount_lower_bound,B2B,3,,,,
Progressive Discount Value,progressive_discount_value,B2B,3,,,,
Pricing Action,pricing_action,B2B,1,Optional,delete business_price (without the quotes),delete business_price,"Specifies the actions that need to be performed on the price attributes of this SKU. The only action currently supported by the system is deleting the business_price.
Set this field to ""delete business_price"" when you want to remove a previously submitted business_price and any quantity discounts. If left blank, no action will be performed and the contents of this column will be ignored."
